,French,English
1,je,I
2,de,of
3,est,is
4,pas,not
5,le,the
6,vous,you
7,la,the
8,tu,you
9,que,than
10,un,a
11,il,he
12,et,and
13,à,at
14,a,at
15,ne,born
16,les,the
17,ce,this
18,en,in
19,on,we
20,ça,it
21,une,a
22,ai,have
23,pour,for
24,des,of the
25,moi,I
26,qui,who
27,nous,we
28,y,there
29,mais,But
30,me,me
31,dans,in
32,du,of
33,bien,good
34,elle,she
35,si,if
36,tout,all
37,plus,more
38,non,no
39,mon,my
40,suis,am
41,te,you
42,au,at
43,avec,with
44,va,go
45,oui,Yes
46,toi,you
47,fait,made
48,ils,they
49,as,ace
50,être,be
51,faire,to do
52,se,himself
53,comme,as
54,était,was
55,sur,sure
56,quoi,what
57,ici,here
58,sais,know
59,lui,him
60,veux,want
61,ma,my
62,là,the
63,rien,nothing
64,dit,said
65,es,es
66,où,or
67,votre,your
68,pourquoi,Why
69,sont,are
70,cette,this
71,quand,when
72,par,by
73,son,his
74,ton,your
75,peux,can
76,vais,am going to
77,dire,say
78,alors,so
79,comment,How? 'Or' What
80,avez,have
81,bon,Well
82,ou,or
83,très,very
84,merci,thank you
85,ont,have
86,même,even
87,jamais,never
88,aussi,too
89,voir,see
90,chose,thing
91,allez,going
92,tous,all
93,deux,of them
94,ces,these
95,faut,should
96,sa,her
97,êtes,are
98,été,summer
99,ta,your
100,fais,do
101,avoir,to have
102,peut,can
103,autre,other
104,m,m
105,encore,again
106,maintenant,now
107,peu,little
108,mes,my
109,vraiment,really
110,temps,time
111,notre,our
112,toujours,always
113,vie,life
114,sans,without
115,juste,fair
116,oh,Oh
117,avait,had
118,accord,agreement
119,vu,seen
120,monde,world
121,quelque,some
122,fois,times
123,aller,to go
124,trop,too much
125,viens,come
126,crois,think
127,dieu,God
128,dois,have
129,homme,man
130,père,dad
131,sûr,sure
132,aux,to the
133,leur,their
134,avant,before
135,étais,was
136,besoin,need
137,femme,women
138,aime,love
139,personne,no one
140,avais,had
141,chez,in
142,vrai,true
143,ans,years
144,mal,wrong
145,ses,his
146,parler,speak
147,vos,your
148,après,after
149,mort,death
150,veut,wants
151,eu,had
152,sera,will be
153,bonne,good
154,parce,by
155,mieux,better
156,petit,small
157,voilà,here
158,tes,your
159,ca,it
160,dis,tell
161,beaucoup,a lot
162,depuis,since
163,doit,must
164,vois,see
165,mère,mother
166,vas,going
167,monsieur,gentleman
168,quel,what
169,déjà,already
170,fille,girl
171,gens,people
172,donc,so
173,jour,day
174,soir,evening
175,autres,other
176,ii,ii
177,toute,all
178,bonjour,Hello
179,ll,It
180,maison,House
181,nom,last name
182,argent,silver
183,nos,our
184,ouais,yeah
185,pense,thought
186,merde,Fuck
187,nuit,night
188,papa,dad
189,cela,it
190,salut,Hi
191,cet,this
192,avons,have
193,reste,rest
194,désolé,sorry
195,maman,mom
196,peur,fear
197,arrive,come
198,seul,alone
199,vite,quickly
200,prendre,take
201,regarde,looked
202,air,air
203,soit,is
204,trois,three
205,quelle,what
206,passé,past
207,savoir,know
208,plaît,please
209,choses,things
210,moins,less
211,fils,son
212,entre,Between
213,bas,low
214,appelle,call
215,passe,past
216,ah,ha
217,tête,head
218,demain,tomorrow
219,grand,tall
220,arrête,stopped
221,faites,make
222,voulez,want
223,hé,Hey
224,attends,hold on
225,hein,huh
226,enfants,children
227,assez,enough
228,raison,reason
229,aurais,would
230,voulais,wanted
231,elles,they
232,parle,speak
233,ok,okay
234,jours,days
235,dû,of
236,moment,moment
237,heure,hour
238,puis,then
239,gars,guys
240,hommes,men
241,amour,love
242,tard,late
243,toutes,all
244,sommes,are
245,tuer,kill
246,eh,eh
247,ami,friend
248,connais,know
249,petite,small
250,aider,help
251,chance,luck
252,savez,know
253,partir,go
254,sait,know
255,combien,how much
256,voiture,car
257,tant,so
258,pris,taken
259,part,go
260,problème,problem
261,prends,take
262,porte,door
263,coup,stroke
264,serait,would be
265,venir,come
266,hui,hui
267,famille,family
268,travail,job
269,pu,could
270,seule,only
271,sens,meaning
272,ni,or
273,allons,let's go
274,revoir,meet again
275,idée,idea
276,putain,whore
277,passer,pass
278,contre,against
279,comprends,understand
280,entendu,heard
281,trouvé,find
282,trouver,find
283,vieux,old
284,vient,just
285,pendant,while
286,aurait,would have
287,quelques,a few
288,attention,Warning
289,demande,request
290,chercher,look for
291,sous,under
292,voici,here is
293,pourrait,could
294,sang,blood
295,pouvez,can
296,sortir,exit
297,question,question
298,histoire,history
299,amis,friends
300,venez,come
301,frère,brother
302,rester,stay
303,fini,finished
304,ville,city
305,nouveau,new
306,truc,thing
307,tiens,here
308,mois,month
309,eux,them
310,mec,guy
311,yeux,eyes
312,laisse,leash
313,super,Great
314,belle,pretty
315,longtemps,long time
316,police,police
317,eau,water
318,heures,hours
319,car,because
320,importe,imported
321,cas,case
322,vont,will
323,chaque,each
324,terre,Earth
325,place,square
326,tué,kill
327,type,type
328,main,hand
329,pardon,sorry
330,ensemble,together
331,seulement,only
332,guerre,war
333,beau,handsome
334,vers,towards
335,mme,Mrs
336,prie,pray
337,devant,in front of
338,trouve,find
339,partie,part
340,suite,after
341,compris,including
342,matin,morning
343,leurs,their
344,aucun,no
345,arrivé,come
346,dessus,above
347,chérie,sweetheart
348,mettre,to put
349,aide,help
350,étaient,were
351,ie,ie
352,perdu,lost
353,fin,end
354,sois,be
355,premier,first
356,genre,kind
357,aimerais,would like to
358,droit,law
359,donne,given
360,attendez,Wait
361,jeune,young
362,feu,fire
363,devrais,should
364,enfant,child
365,chambre,bedroom
366,gros,large
367,côté,side
368,venu,came
369,loin,far
370,laisser,let
371,donner,give
372,jouer,to play
373,savais,knew
374,compte,account
375,s,s
376,parlé,speak
377,minutes,minutes
378,regardez,look
379,train,train
380,première,first
381,pouvoir,power
382,aura,will have
383,mourir,die
384,dernière,latest
385,donné,given
386,ia,ia
387,mari,husband
388,écoute,listen
389,enfin,finally
390,devrait,should
391,mis,placed
392,film,movie
393,aucune,any
394,fort,strong
395,façon,way
396,pays,country
397,prêt,ready
398,madame,Mrs
399,femmes,women
400,affaire,case
401,pourrais,could
402,espère,hope
403,parti,left
404,h,h
405,boulot,job
406,endroit,in law
407,fou,crazy
408,corps,body
409,hier,yesterday
410,dont,whose
411,désolée,sorry
412,grande,big
413,point,point
414,cinq,five
415,dehors,outside
416,filles,girls
417,cause,cause
418,vivre,live
419,près,near
420,pensais,thought
421,garçon,boy
422,chef,chief
423,haut,high
424,capitaine,captain
425,dirait,would say
426,bébé,baby
427,celui,the one
428,demandé,request
429,possible,possible
430,mains,hands
431,ainsi,so
432,quatre,four
433,nouvelle,new
434,années,years
435,plein,full
436,semaine,week
437,dites,say
438,croire,believe
439,marche,market
440,tour,tower
441,école,school
442,manger,eat
443,plutôt,rather
444,docteur,doctor
445,ceux,those
446,vérité,truth
447,vue,view
448,arrêter,Stop
449,essaie,try
450,envie,desire
451,bientôt,soon
452,instant,moment
453,dernier,latest
454,affaires,business
455,arriver,arrive
456,demander,request
457,meilleur,better
458,font,make
459,derrière,behind
460,c,vs
461,dollars,dollars
462,presque,almost
463,dr,dr
464,tellement,so much
465,tomber,fall
466,journée,day
467,voulait,wanted to
468,appeler,call
469,bureau,office
470,confiance,trust
471,garde,keep
472,attendre,wait
473,numéro,number
474,serai,will
475,dur,hard
476,á,at
477,souviens,remember
478,o,o
479,voyez,see
480,cours,Classes
481,bonsoir,Good evening
482,route,road
483,fera,will
484,prend,take
485,cul,ass
486,abord,on board
487,important,important
488,peine,trouble
489,croyais,thought
490,mot,word
491,devez,must
492,suffit,enough
493,minute,minute
494,ferme,closed
495,ben,ben
496,plaisir,pleasure
497,chien,dog
498,jeu,Game
499,seigneur,Lord
500,messieurs,gentlemen
501,calme,calm
502,voudrais,would like
503,heureux,happy
504,prenez,take
505,mariage,wedding
506,voit,sees
507,parents,parents
508,lls,They
509,dedans,in
510,entrer,enter
511,lit,bed
512,parfait,perfect
513,fous,crazy
514,mlle,Ms
515,rentrer,return
516,ait,has
517,musique,music
518,arrêtez,stop
519,autant,as much
520,service,service
521,reviens,come back
522,ceci,this
523,drôle,funny
524,attend,waits
525,parfois,sometimes
526,téléphone,phone
527,retour,return
528,ira,will
529,e,e
530,pauvre,poor
531,verre,glass
532,général,general
533,new,new
534,six,six
535,pensé,thought
536,l,l
537,impossible,impossible
538,fête,Party
539,adore,love
540,coeur,heart
541,aimes,love
542,ci,this
543,ferai,will
544,président,President
545,doute,doubt
546,facile,easy
547,entends,hear
548,payer,pay
549,appelé,called
550,prison,jail
551,john,john
552,sors,go outside
553,café,Coffee
554,vaut,worth
555,mauvais,bad
556,chéri,Darling
557,oublié,forget it
558,bras,arms
559,i,i
560,gentil,kind
561,faute,fault
562,équipe,team
563,exactement,exactly
564,cœur,heart
565,penser,think
566,changer,switch
567,commence,begin
568,lieu,location
569,entendre,hear
570,ies,ies
571,roi,King
572,plan,plan
573,partout,all over
574,joue,play
575,cher,expensive
576,morts,dead
577,rendre,return
578,écrit,written
579,travailler,to work
580,malade,sick
581,sinon,if not
582,génial,awesome
583,regarder,watch
584,veulent,want
585,montrer,to show
586,rentre,returns
587,travaille,work
588,armée,army
589,voulu,desired
590,cherche,looking
591,état,state
592,boire,to drink
593,sécurité,security
594,dès,from
595,esprit,mind
596,année,year
597,dix,ten
598,york,york
599,laissé,leash
600,bois,wood
601,mets,dish
602,propre,clean
603,soyez,are
604,jack,jack
605,essayer,try
606,faisait,was
607,tôt,early
608,surtout,mostly
609,arme,armed
610,t,t
611,rêve,dream
612,perdre,to lose
613,avis,view
614,semble,seems
615,pire,worst
616,simple,simple
617,penses,think
618,parles,talk
619,paix,peace
620,livre,delivered
621,dormir,to sleep
622,voyons,see
623,difficile,difficult
624,retard,delay
625,allait,was going to
626,d,d
627,sujet,topic
628,appris,learned
629,ensuite,then
630,sauf,except
631,maître,master
632,morte,dead woman
633,noir,black
634,or,gold
635,dîner,having dinner
636,choix,choice
637,serais,would
638,écoute,listen
639,sale,dirty
640,étiez,were
641,sûrement,surely
642,an,year
643,ordre,order
644,souvent,often
645,essayé,tried
646,peuvent,can
647,visage,face
648,bout,end
649,changé,exchange
650,sérieux,serious
651,inquiète,worry
652,âge,age
653,photo,Photo
654,rue,street
655,tirer,shoot
656,comprendre,understand
657,face,face
658,semaines,weeks
659,marché,market
660,questions,Questions
661,honneur,honor
662,ciel,sky
663,allé,go
664,garder,keep
665,chemin,path
666,grave,serious
667,gauche,left
668,petits,small
669,courant,current
670,amie,friend
671,nouvelles,news
672,avion,plane
673,con,cunt
674,content,happy
675,force,strength
676,millions,million
677,oublie,forget it
678,devoir,duty
679,prochaine,next
680,prix,price
681,propos,about
682,bateau,boat
683,bouge,moves
684,voix,voice
685,rouge,red
686,restez,stay
687,celle,that
688,pouvais,could
689,personnes,people
690,ferais,would
691,début,beginning
692,espèce,species
693,gueule,mouth
694,acheter,buy
695,continue,keep on going
696,sort,fate
697,faim,hunger
698,long,long
699,j,j
700,voyage,trip
701,message,message
702,sorte,kind
703,reçu,received
704,bienvenue,welcome
705,idiot,idiot
706,certains,some
707,hôpital,hospital
708,promis,promised
709,devenir,to become
710,ouvre,opens
711,grâce,grace
712,sûre,safe
713,problèmes,problems
714,armes,arms
715,trucs,stuff
716,camp,camp
717,allais,going
718,occupe,busy
719,devait,was
720,manque,lack
721,connaissez,know
722,thé,tea
723,avaient,had
724,cheveux,hair
725,soleil,Sun
726,salle,room
727,gagner,to win
728,laissez,leave
729,erreur,fault
730,cru,vintage
731,pars,leave
732,bizarre,weird
733,croyez,believe
734,sac,bag
735,hôtel,hotel
736,oncle,uncle
737,pièce,room
738,pouvait,could
739,fond,background
740,soirée,evening
741,secret,secret
742,patron,boss
743,rapport,report
744,apprendre,learn
745,commencé,begin
746,sauver,to save
747,seconde,second
748,pensez,think
749,allô,Hello
750,ailleurs,elsewhere
751,agent,agent
752,froid,cold
753,seras,shalt
754,pied,foot
755,jolie,pretty one
756,revenir,return
757,scène,scene
758,pieds,feet
759,n,not
760,devons,must
761,groupe,group
762,carte,menu
763,aurai,have
764,effet,effect
765,neuf,new
766,fallait,needed
767,monte,mounted
768,battre,beat
769,noël,Christmas
770,venue,arrival
771,mots,words
772,tire,drawn
773,droite,right
774,libre,free
775,soeur,sister
776,situation,situation
777,seront,will
778,faux,false
779,bordel,whorehouse
780,foutre,fuck
781,lumière,light
782,euh,uh
783,incroyable,unbelievable
784,tue,kill
785,joli,pretty
786,connaît,knows
787,debout,standing
788,colonel,colonel
789,cheval,horse
790,écoutez,Listen
791,george,george
792,joe,joe
793,vieille,old
794,entrez,Come in
795,intérieur,inside
796,coin,corner
797,auras,get
798,gagné,won
799,fric,money
800,loi,law
801,absolument,absolutely
802,dame,lady
803,cool,cool
804,magnifique,magnificent
805,dos,back
806,occuper,to occupy
807,présent,present
808,retrouver,find
809,réussi,success
810,frank,frank
811,rencontrer,meet
812,aviez,had
813,meilleure,best
814,âme,soul
815,prêts,loans
816,doucement,slowly
817,table,table
818,lettre,letter
819,rappelle,remember
820,sam,sat
821,fut,was
822,risque,risk
823,ordres,orders
824,appel,call
825,commencer,to start
826,terminé,completed
827,agit,is
828,blanc,White
829,sœur,sister
830,pareil,the same
831,charlie,charlie
832,chaud,hot
833,finir,finish
834,touche,touch
835,avance,advanced
836,ignore,unknown
837,meurtre,murder
838,tranquille,quiet
839,anniversaire,anniversary
840,déjeuner,lunch
841,disais,said
842,bord,edge
843,tom,tom
844,jeunes,youth
845,accident,accident
846,parlez,speak
847,fasse,make
848,complètement,completely
849,déteste,hated
850,clair,clear
851,marcher,walk
852,disait,said
853,mauvaise,bad
854,envoyé,sent
855,â,at
856,professeur,professor
857,heureuse,happy
858,doivent,have to
859,midi,midday
860,lire,read
861,moyen,way
862,ferait,would do
863,commandant,commanding officer
864,vraie,real
865,sept,seven
866,forme,form
867,tombe,falls
868,silence,silence
869,sortez,get out
870,connaître,know
871,puisse,can
872,cadeau,gift
873,flics,cops
874,mer,Wed
875,médecin,doctor
876,exact,exact
877,décidé,decided
878,moitié,half
879,surprise,surprise
880,avocat,lawyer
881,montre,watch
882,b,b
883,su,knew
884,porter,carry
885,télé,TV
886,vivant,living
887,jure,sworn
888,disent,say
889,mr,mr
890,serez,will
891,devriez,should
892,devenu,become
893,aimé,love
894,diable,Devil
895,ligne,line
896,mission,mission
897,suppose,Assumed
898,chacun,each
899,autour,around
900,pote,mate
901,grosse,big
902,expliquer,explain
903,arrivée,arrival
904,monter,ascend
905,balle,ball
906,selon,according to
907,photos,Pictures
908,contrôle,control
909,prête,ready
910,anglais,English
911,sorti,got out
912,k,k
913,bons,good
914,disparu,faded away
915,tenir,hold
916,simplement,simply
917,quitter,to leave
918,envoie,send
919,paul,paul
920,aimer,like
921,voie,way
922,paris,Paris
923,classe,classroom
924,huit,eight
925,offre,offer
926,poste,post
927,dangereux,dangerous
928,attaque,attack
929,impression,impression
930,folle,crazy woman
931,michael,michael
932,mange,eat
933,bravo,well done
934,arrière,back
935,amérique,America
936,suivre,to follow
937,aille,go
938,oublier,forget
939,peuple,people
940,baiser,kiss
941,rencontré,meet
942,honte,shame
943,connard,shithead
944,trou,hole
945,retourner,return
946,chanson,song
947,change,exchange
948,arrêté,stopped
949,enfer,hell
950,écrire,to write
951,livres,books
952,habitude,habit
953,réponse,reply
954,david,david
955,lieutenant,lieutenant
956,savait,knew
957,radio,radio
958,tenez,hold
959,bande,bandaged
960,bob,bob
961,rend,makes
962,compagnie,company
963,connu,known
964,secours,help
965,danse,dance
966,met,puts
967,vol,flight
968,vit,lives
969,conneries,bullshit
970,aurez,will
971,imagine,conceived
972,boîte,box
973,joué,play
974,triste,sad
975,sud,South
976,lu,read
977,tel,Phone
978,merveilleux,wonderful
979,pute,bitch
980,aie,Ouch
981,ressemble,looks like
982,coucher,sleep
983,ennuis,trouble
984,volé,Fly
985,sortie,exit
986,devais,had
987,combat,fight
988,bouche,mouth
989,certain,certain
990,visite,visit
991,existe,exist
992,bête,stupid
993,retourne,return
994,approche,approach
995,pourtant,However
996,plusieurs,many
997,rire,to laugh
998,but,goal
999,sergent,sergeant
1000,public,public
1001,système,system
1002,présente,present
1003,dirai,tell
1004,faudra,will
1005,écouter,listen
1006,hors,except
1007,exemple,example
1008,vendre,sell
1009,continuer,Continue
1010,coups,shots
1011,pourra,will
1012,sympa,friendly
1013,nord,North
1014,cuisine,cooked
1015,époque,time
1016,grands,great
1017,héros,hero
1018,étrange,strange
1019,avenir,to come up
1020,danger,danger
1021,envoyer,to send
1022,gouvernement,government
1023,danser,dance
1024,lune,Moon
1025,etre,be
1026,poser,to pose
1027,partez,leave
1028,normal,normal
1029,peau,skin
1030,santé,health
1031,ecoutez,Listen
1032,ouvrir,to open
1033,nez,nose
1034,secondes,seconds
1035,amoureux,lover
1036,dommage,pity
1037,pleine,full
1038,mille,thousand
1039,banque,bank
1040,voler,steal
1041,clé,key
1042,bonnes,good
1043,paraît,seems
1044,servir,to serve
1045,journal,newspaper
1046,village,town
1047,tient,is holding
1048,flic,cop
1049,salaud,bastard
1050,juge,judge
1051,tiré,drawn
1052,cour,court
1053,assis,seated
1054,bruit,noise
1055,terrible,terrible
1056,prochain,next
1057,inspecteur,inspector
1058,liberté,freedom
1059,blague,joke
1060,robe,dress
1061,crime,crime
1062,bière,beer
1063,tas,heap
1064,viennent,are coming
1065,don,Don
1066,reine,Queen
1067,protéger,protect
1068,seuls,only
1069,préfère,prefer
1070,bar,bar
1071,dingue,crazy
1072,vent,wind
1073,pitié,pity
1074,croit,believes
1075,payé,paid
1076,travers,through
1077,club,club
1078,garçons,boys
1079,conseil,advice
1080,mesdames,ladies
1081,sol,ground
1082,bonheur,happiness
1083,rêves,dreams
1084,centre,center
1085,thé,tea
1086,mêmes,same
1087,avions,had
1088,mike,mike
1089,nulle,nothing
1090,stupide,stupid
1091,pouvons,can
1092,vin,wine
1093,tante,aunt
1094,sent,feels
1095,fiche,plug
1096,milieu,middle
1097,signe,sign
1098,unis,United
1099,appelez,call
1100,départ,departure
1101,inutile,useless
1102,emmener,bring
1103,comprenez,understand
1104,liste,listing
1105,gamin,kid
1106,johnny,johnny
1107,hey,hey
1108,prise,taking
1109,savent,know
1110,différent,different
1111,verra,will
1112,probablement,probably
1113,intérêt,interest
1114,choisi,selected
1115,parole,speech
1116,ennemi,enemy
1117,vêtements,clothing
1118,aimez,like
1119,recherche,research
1120,société,society
1121,faisais,doing
1122,peter,to fart
1123,œil,eye
1124,soin,care
1125,chère,Dear
1126,tourne,turned
1127,ià,ià
1128,descendre,go down
1129,félicitations,Congratulations
1130,pose,pose
1131,position,position
1132,oeil,eye
1133,vouloir,want to
1134,mecs,guys
1135,irai,go
1136,spectacle,show
1137,acheté,purchased
1138,laquelle,which
1139,rôle,role
1140,intéresse,interested
1141,utiliser,use
1142,match,match
1143,devient,bECOMES
1144,quitté,quits
1145,asseoir,Sit
1146,environ,about
1147,plait,please
1148,mur,Wall
1149,blessé,injured
1150,mise,setting
1151,harry,harry
1152,you,you
1153,beauté,beauty
1154,salope,slut
1155,parie,bet
1156,sert,serves
1157,soldats,soldiers
1158,films,movies
1159,américain,American
1160,marier,marry
1161,entrée,Entrance
1162,soldat,soldier
1163,ouvert,open
1164,sauter,jump
1165,londres,London
1166,eiie,eiie
1167,lequel,which
1168,lâche,loose
1169,église,church
1170,pierre,Pierre
1171,art,art
1172,fenêtre,window
1173,humain,human
1174,tort,wrong
1175,cerveau,brain
1176,coupable,guilty
1177,petites,small
1178,promets,promise
1179,adresse,address
1180,prince,prince
1181,quartier,district
1182,espoir,hope
1183,conduire,drive
1184,auriez,would
1185,ridicule,ridiculous
1186,justice,justice
1187,rose,pink
1188,venus,Venus
1189,max,max
1190,jimmy,jimmy
1191,presse,hurry
1192,adieu,farewell
1193,revient,come back
1194,expérience,experience
1195,présenter,present
1196,tombé,falls
1197,faisons,do
1198,épouser,marry
1199,frères,brothers
1200,veuillez,please
1201,revenu,returned
1202,colère,anger
1203,bill,bill
1204,vis,screw
1205,james,james
1206,pourriez,might
1207,jim,jim
1208,intéressant,interesting
1209,ouvrez,open
1210,nature,nature
1211,gosse,kid
1212,taxi,Taxi
1213,fier,proud
1214,preuve,evidence
1215,riche,rich
1216,faudrait,should
1217,base,based
1218,fleurs,flowers
1219,vide,empty
